surname,weight
효령 사공(司空),2723
목천 상(尙),2259
남양 서(徐),1725
달성 서(徐),407431
대구 서(徐),97866
부여 서(徐),17145
연산 서(徐),7510
이천 서(徐),199792
장성 서(徐),10137
안음 서문(西門),1934
경주 석(昔),8740
월성 석(昔),1536
충주 석(石),41802
홍주 석(石),1009
보성 선(宣),41876
태원 선우(鮮于),3329
경주 설(?),2898
경주 설(薛),3407
순창 설(薛),35825
옥천 설(薛),1162
창녕 성(成),182377
창령 성(成),5433
창영 성(成),7500
익산 소(蘇),1043
진양 소(蘇),1521
진주 소(蘇),48836
경주 손(孫),68486
구례 손(孫),1839
밀성 손(孫),7944
밀양 손(孫),306895
안동 손(孫),16922
월성 손(孫),21714
일직 손(孫),10210
청주 손(孫),1134
평해 손(孫),15488
김해 송(宋),1149
남양 송(宋),11041
려산 송(宋),3443
문경 송(宋),3251
서산 송(宋),2119
신평 송(宋),13916
야성 송(宋),20020
양덕 송(宋),1037
여산 송(宋),294788
연안 송(宋),13098
예산 송(宋),2602
용성 송(宋),4193
은율 송(宋),3882
은진 송(宋),226050
진천 송(宋),32690
청주 송(宋),8171
치성 송(宋),2444
홍주 송(宋),9679
회덕 송(宋),15515
연일 승(承),1647
절강 시(施),2011
거창 신(愼),51153
고령 신(申),129718
아주 신(申),33710
영해 신(申),4047
평산 신(申),563375
령산 신(辛),3762
영산 신(辛),98759
영월 신(辛),84905
삼척 심(沈),17034
청송 심(沈),240768
풍산 심(沈),11187
강진 안(安),15585
경주 안(安),2831
광주 안(安),48033
순흥 안(安),520384
죽산 안(安),77026
탐진 안(安),10513
태원 안(安),1637
남양 양(梁),1447
남원 양(梁),307724
제주 양(梁),142211
청주 양(梁),1599
남원 양(楊),17332
밀성 양(楊),1425
밀양 양(楊),2111
중화 양(楊),7287
청주 양(楊),38161
충주 어(魚),2288
함종 어(魚),15746
영성 엄(嚴),1588
영월 엄(嚴),139681
의령 여(余),17780
성산 여(呂),9494
성주 여(呂),13467
함양 여(呂),34835
곡산 연(延),33891
용담 염(廉),2715
파주 염(廉),57531
파평 염(廉),5515
의흥 예(芮),12802
고창 오(吳),18856
군위 오(吳),26949
금성 오(吳),14458
나주 오(吳),18152
낙안 오(吳),11562
동복 오(吳),72394
보성 오(吳),71162
울산 오(吳),3015
장흥 오(吳),4132
평해 오(吳),1816
함양 오(吳),35846
함평 오(吳),3164
해주 오(吳),462704
화순 오(吳),3952
흥양 오(吳),2805
의령 옥(玉),19095
의춘 옥(玉),3357
금강 온(溫),1838
금구 온(溫),1581
개성 왕(王),22452
홍천 용(龍),14483
단양 우(禹),191287
원주 원(元),126677
관산 위(魏),2419
장흥 위(魏),27862
경주 유(兪),4160
기계 유(兪),139073
무안 유(兪),5896
인동 유(兪),1448
창원 유(兪),11088
강능 유(劉),8754
강릉 유(劉),236871
거창 유(劉),27756
경주 유(劉),3231
백천 유(劉),8773
충주 유(劉),2544
무송 유(庾),12459
고흥 유(柳),52221
문화 유(柳),237314
서녕 유(柳),1417
서령 유(柳),9002
서산 유(柳),11833
서영 유(柳),1612
선산 유(柳),2844
영광 유(柳),1057
전주 유(柳),62189
진양 유(柳),4628
진주 유(柳),68901
풍산 유(柳),12153
흥양 유(柳),5359
관성 육(陸),1183
옥천 육(陸),21410
남원 윤(尹),42423
무송 윤(尹),14572
예천 윤(尹),1579
칠원 윤(尹),65098
파주 윤(尹),4992
파평 윤(尹),770932
함안 윤(尹),7608
해남 윤(尹),66394
해평 윤(尹),32091
행주 은(殷),14665
괴산 음(陰),3239
죽산 음(陰),1766
가평 이(李),11936
강양 이(李),9887
강진 이(李),4175
개성 이(李),4283
경산 이(李),6682
경주 이(李),1391867
고령 이(李),1186
고부 이(李),22891
고성 이(李),88587
고흥 이(李),1725
공산 이(李),11684
공주 이(李),30908
광산 이(李),40177
광주 이(李),181377
광평 이(李),1752
김해 이(李),1915
나주 이(李),3910
농서 이(李),3136
단성 이(李),2478
단양 이(李),19001
대흥 이(李),4172
덕산 이(李),8305
덕수 이(李),58513
덕은 이(李),2606
동성 이(李),2938
롱서 이(李),1534
밀양 이(李),1562
벽진 이(李),109267
보은 이(李),2699
봉산 이(李),8695
부평 이(李),6789
사천 이(李),8616
상주 이(李),3259
서림 이(李),1474
서산 이(李),1179
서천 이(李),1824
선산 이(李),1198
선상 이(李),2857
선성 이(李),1011
섬천 이(李),1238
성산 이(李),113087
성주 이(李),203703
수안 이(李),20763
수원 이(李),4872
순천 이(李),3235
신평 이(李),39872
아산 이(李),13552
안산 이(李),3265
안성 이(李),21948
안악 이(李),12319
안평 이(李),3021
양산 이(李),4164
양성 이(李),55246
여강 이(李),4178
여주 이(李),84389
여흥 이(李),7914
연안 이(李),164036
영양 이(李),4622
영주 이(李),2999
영천 이(李),135612
영해 이(李),2466
예안 이(李),17748
옥구 이(李),1003
옥천 이(李),1474
온양 이(李),1839
완산 이(李),46443
용인 이(李),36306
우계 이(李),19585
우봉 이(李),23902
울산 이(李),14322
원주 이(李),85562
월성 이(李),173127
익산 이(李),1970
인천 이(李),83855
장수 이(李),16940
장천 이(李),1206
장흥 이(李),1935
재녕 이(李),4158
재령 이(李),54166
재영 이(李),1771
전의 이(李),164189
전주 이(李),2631643
정선 이(李),2597
정주 이(李),1637
진보 이(李),25036
진성 이(李),52538
진안 이(李),2919
진위 이(李),4909
진주 이(李),4410
차성 이(李),2391
창녕 이(李),3608
철성 이(李),16181
청안 이(李),18270
청주 이(李),37377
청해 이(李),13397
충주 이(李),3269
태안 이(李),4339
파산 이(李),2660
평산 이(李),3271
평창 이(李),80607
하빈 이(李),17965
하음 이(李),1718
학성 이(李),16460
한산 이(李),156861
한양 이(李),3626
함안 이(李),41064
함평 이(李),138550
함풍 이(李),18552
합천 이(李),121416
해주 이(李),1531
행주 이(李),1054
협천 이(李),10672
홍주 이(李),15968
홍천 이(李),1477
화산 이(李),1237
흥양 이(李),22784
교동 인(印),20737
곡성 임(任),1955
관산 임(任),5386
장흥 임(任),32198
진주 임(任),2623
풍천 임(任),143881
경주 임(林),4675
금성 임(林),6305
나주 임(林),277699
밀양 임(林),2092
보성 임(林),1677
부안 임(林),76154
상산 임(林),5011
선산 임(林),13726
안동 임(林),7431
안의 임(林),1973
예천 임(林),66492
옥야 임(林),1385
울진 임(林),23782
은진 임(林),11451
익산 임(林),1342
임천 임(林),1574
장흥 임(林),7116
전주 임(林),4271
조양 임(林),42844
진주 임(林),2177
진천 임(林),2691
충주 임(林),5432
평택 임(林),225872
풍천 임(林),1304
회진 임(林),5540
결성 장(張),24921
구례 장(張),15571
나주 장(張),1142
단양 장(張),44334
덕수 장(張),24185
목천 장(張),15740
봉성 장(張),1670
부안 장(張),3273
순천 장(張),13317
안동 장(張),39939
예산 장(張),1920
옥구 장(張),6051
옥산 장(張),15173
옥성 장(張),1197
울진 장(張),26374
인동 장(張),666652
절강 장(張),3987
진천 장(張),1099
창녕 장(張),4814
하산 장(張),1238
흥덕 장(張),37423
흥성 장(張),21973
거창 장(章),5688
아산 장(蔣),21015
경산 전(全),23923
경주 전(全),2810
나주 전(全),3288
선선 전(全),8858
성산 전(全),9606
성주 전(全),8134
안동 전(全),3323
옥산 전(全),13113
옥천 전(全),47681
완산 전(全),1753
용궁 전(全),30142
전주 전(全),24886
정선 전(全),166965
죽산 전(全),10757
천안 전(全),176239
축산 전(全),7780
평강 전(全),3467
나주 전(田),1080
남양 전(田),4166
단양 전(田),2142
담양 전(田),155018
연안 전(田),8130
의령 전(田),1269
하음 전(田),1854
문경 전(錢),3018
금성 정(丁),12527
나주 정(丁),125088
영광 정(丁),44964
영성 정(丁),18592
의성 정(丁),3498
창원 정(丁),31687
하남 정(程),8168
한산 정(程),2864
경주 정(鄭),350587
고성 정(鄭),1530
공산 정(鄭),1965
광산 정(鄭),5914
광주 정(鄭),15607
금성 정(鄭),9886
나주 정(鄭),37888
동래 정(鄭),474506
봉화 정(鄭),27088
서산 정(鄭),18614
야성 정(鄭),1934
연백 정(鄭),2000
연일 정(鄭),284290
영덕 정(鄭),1674
영일 정(鄭),65991
오천 정(鄭),43341
온양 정(鄭),29761
월성 정(鄭),3251
장기 정(鄭),4705
전주 정(鄭),1268
정일 정(鄭),1125
정주 정(鄭),2301
조천 정(鄭),3929
진양 정(鄭),127279
진주 정(鄭),197242
청산 정(鄭),4527
청주 정(鄭),46419
초계 정(鄭),104155
팔계 정(鄭),17366
하동 정(鄭),187152
함평 정(鄭),6338
해주 정(鄭),45101
칠원 제(諸),20095
남양 제갈(諸葛),4506
창녕 조(曺),366798
창령 조(曺),9837
창영 조(曺),12924
창원 조(曺),1185
하성 조(曺),1525
김제 조(趙),19249
남원 조(趙),1266
밀양 조(趙),1124
백천 조(趙),75978
순창 조(趙),34069
양주 조(趙),29631
옥천 조(趙),53406
임천 조(趙),14258
직산 조(趙),4360
평산 조(趙),3348
평양 조(趙),50480
풍양 조(趙),124262
한양 조(趙),332580
함안 조(趙),282890
함양 조(趙),2189
횡성 조(趙),6685
청주 좌(左),3280
상주 주(周),22909
철원 주(周),3160
초계 주(周),8713
나주 주(朱),1308
능성 주(朱),14362
능주 주(朱),20625
신안 주(朱),148207
웅천 주(朱),2359
봉산 지(智),5751
단양 지(池),1601
청주 지(池),1017
충주 지(池),148144
남원 진(晋),7128
남원 진(秦),2011
진주 진(秦),1984
풍기 진(秦),12974
여양 진(陣),1203
강릉 진(陳),1937
경주 진(陳),5149
광동 진(陳),2397
나주 진(陳),4167
삼척 진(陳),10252
신광 진(陳),1071
양산 진(陳),1042
여양 진(陳),110403
여주 진(陳),1626
영양 진(陳),2769
예양 진(陳),1075
진산 진(陳),1096
홍주 진(陳),2310
수원 차(車),1670
연안 차(車),184731
정안 차(車),1002
인천 채(蔡),43387
평강 채(蔡),84877
여양 천(千),1536
영양 천(千),100014
예양 천(千),1038
화산 천(千),5843
경주 최(催),2706
전주 최(催),1268
강능 최(崔),3381
강릉 최(崔),145335
강진 최(崔),2398
강화 최(崔),13372
경주 최(崔),945005
곡강 최(崔),1836
광주 최(崔),1561
나주 최(崔),3608
낭주 최(崔),17205
동주 최(崔),3647
랑주 최(崔),2295
밀양 최(崔),4743
삭녕 최(崔),51525
삭령 최(崔),3571
삭영 최(崔),3046
수성 최(崔),61231
수원 최(崔),14687
양주 최(崔),4515
양천 최(崔),8376
영암 최(崔),1127
영양 최(崔),2936
영천 최(崔),21431
완산 최(崔),3563
용궁 최(崔),1032
원주 최(崔),1289
월성 최(崔),82843
전주 최(崔),458191
정주 최(崔),1284
죽산 최(崔),1762
직산 최(崔),1024
진주 최(崔),2093
철원 최(崔),11403
청송 최(崔),1411
초계 최(崔),37527
충주 최(崔),15705
탐진 최(崔),89943
태원 최(崔),1153
통천 최(崔),11178
해주 최(崔),201625
화순 최(崔),38604
황주 최(崔),1291
흥해 최(崔),14792
나주 추(秋),2602
양지 추(秋),1298
전주 추(秋),1953
초계 추(秋),2586
추계 추(秋),45766
광산 탁(卓),15901
광주 탁(卓),3650
영순 태(太),4626
절강 팽(彭),1645
나주 편(片),1063
석강 편(片),1712
절강 편(片),9412
신창 표(表),28894
괴산 피(皮),2569
단양 피(皮),1624
달성 하(夏),2194
진양 하(河),65836
진주 하(河),160307
곡산 한(韓),6266
금계 한(韓),1405
금산 한(韓),1122
제주 한(韓),1375
청주 한(韓),752689
강능 함(咸),2269
강릉 함(咸),59705
양근 함(咸),15815
김해 허(許),134068
분성 허(許),1710
시산 허(許),5120
양주 허(許),4475
양천 허(許),149505
태인 허(許),6870
하양 허(許),20608
성주 현(玄),15995
순천 현(玄),1358
연일 현(玄),1290
연주 현(玄),56047
창원 현(玄),2053
진양 형(邢),1527
진주 형(邢),5453
신평 호(扈),2150
남양 홍(洪),487488
남원 홍(洪),1833
당성 홍(洪),1122
부림 홍(洪),15230
풍산 홍(洪),44594
덕산 황(黃),3857
상주 황(黃),7685
우주 황(黃),25335
장수 황(黃),170988
제안 황(黃),3098
창녕 황(黃),3001
창원 황(黃),271986
평해 황(黃),168374
회덕 황(黃),8385
회산 황(黃),18216
영천 황보(皇甫),10001
